========== Landscape 评估汇总（按 angle, pitch 组合）==========
组合 (angle300, pitch20)：AP@0.5 = 0.0235
组合 (angle320, pitch20)：AP@0.5 = 0.1224
组合 (angle340, pitch20)：AP@0.5 = 0.3855
组合 (angle0, pitch30)：AP@0.5 = 0.1977
组合 (angle20, pitch30)：AP@0.5 = 0.1840
组合 (angle40, pitch30)：AP@0.5 = 0.1150
组合 (angle60, pitch30)：AP@0.5 = 0.1663
组合 (angle80, pitch30)：AP@0.5 = 0.0803
组合 (angle100, pitch30)：AP@0.5 = 0.1546
组合 (angle120, pitch30)：AP@0.5 = 0.0395
组合 (angle140, pitch30)：AP@0.5 = 0.0210
组合 (angle160, pitch30)：AP@0.5 = 0.0142
组合 (angle180, pitch30)：AP@0.5 = 0.0167
组合 (angle200, pitch30)：AP@0.5 = 0.0409
组合 (angle220, pitch30)：AP@0.5 = 0.0560
组合 (angle240, pitch30)：AP@0.5 = 0.0167
组合 (angle260, pitch30)：AP@0.5 = 0.0270
组合 (angle280, pitch30)：AP@0.5 = 0.0147
组合 (angle300, pitch30)：AP@0.5 = 0.0086
组合 (angle320, pitch30)：AP@0.5 = 0.0672
组合 (angle340, pitch30)：AP@0.5 = 0.2824
组合 (angle0, pitch40)：AP@0.5 = 0.1829
组合 (angle20, pitch40)：AP@0.5 = 0.2069
组合 (angle40, pitch40)：AP@0.5 = 0.0607
组合 (angle60, pitch40)：AP@0.5 = 0.2037
组合 (angle80, pitch40)：AP@0.5 = 0.1268
组合 (angle100, pitch40)：AP@0.5 = 0.1459
组合 (angle120, pitch40)：AP@0.5 = 0.0329
组合 (angle140, pitch40)：AP@0.5 = 0.0112
组合 (angle160, pitch40)：AP@0.5 = 0.0109
组合 (angle180, pitch40)：AP@0.5 = 0.0084
组合 (angle200, pitch40)：AP@0.5 = 0.0234
组合 (angle220, pitch40)：AP@0.5 = 0.1205
组合 (angle240, pitch40)：AP@0.5 = 0.0358
组合 (angle260, pitch40)：AP@0.5 = 0.0271
组合 (angle280, pitch40)：AP@0.5 = 0.0109
组合 (angle300, pitch40)：AP@0.5 = 0.0093
组合 (angle320, pitch40)：AP@0.5 = 0.0659
组合 (angle340, pitch40)：AP@0.5 = 0.1496
组合 (angle0, pitch50)：AP@0.5 = 0.1978
组合 (angle20, pitch50)：AP@0.5 = 0.1275
组合 (angle40, pitch50)：AP@0.5 = 0.1281
组合 (angle60, pitch50)：AP@0.5 = 0.1212
组合 (angle80, pitch50)：AP@0.5 = 0.1775
组合 (angle100, pitch50)：AP@0.5 = 0.2127
组合 (angle120, pitch50)：AP@0.5 = 0.1818
组合 (angle140, pitch50)：AP@0.5 = 0.0475
组合 (angle160, pitch50)：AP@0.5 = 0.1818
组合 (angle180, pitch50)：AP@0.5 = 0.0792
组合 (angle200, pitch50)：AP@0.5 = 0.2170
组合 (angle220, pitch50)：AP@0.5 = 0.1513
组合 (angle240, pitch50)：AP@0.5 = 0.0409
组合 (angle260, pitch50)：AP@0.5 = 0.0804
组合 (angle280, pitch50)：AP@0.5 = 0.0758
组合 (angle300, pitch50)：AP@0.5 = 0.0455
组合 (angle320, pitch50)：AP@0.5 = 0.1247
组合 (angle340, pitch50)：AP@0.5 = 0.1633
组合 (angle0, pitch60)：AP@0.5 = 0.1830
组合 (angle20, pitch60)：AP@0.5 = 0.1549
组合 (angle40, pitch60)：AP@0.5 = 0.1481
组合 (angle60, pitch60)：AP@0.5 = 0.1818
组合 (angle80, pitch60)：AP@0.5 = 0.1818
组合 (angle100, pitch60)：AP@0.5 = 0.2286
组合 (angle120, pitch60)：AP@0.5 = 0.1768
组合 (angle140, pitch60)：AP@0.5 = 0.1146
组合 (angle160, pitch60)：AP@0.5 = 0.1212
组合 (angle180, pitch60)：AP@0.5 = 0.1455
组合 (angle200, pitch60)：AP@0.5 = 0.1461
组合 (angle220, pitch60)：AP@0.5 = 0.1392
组合 (angle240, pitch60)：AP@0.5 = 0.1392
组合 (angle260, pitch60)：AP@0.5 = 0.1818
组合 (angle280, pitch60)：AP@0.5 = 0.1653
组合 (angle300, pitch60)：AP@0.5 = 0.1818
组合 (angle320, pitch60)：AP@0.5 = 0.1818
组合 (angle340, pitch60)：AP@0.5 = 0.2097
组合 (angle0, pitch70)：AP@0.5 = 0.1727
组合 (angle20, pitch70)：AP@0.5 = 0.1581
组合 (angle40, pitch70)：AP@0.5 = 0.1238
组合 (angle60, pitch70)：AP@0.5 = 0.1288
组合 (angle80, pitch70)：AP@0.5 = 0.1503
组合 (angle100, pitch70)：AP@0.5 = 0.1688
组合 (angle120, pitch70)：AP@0.5 = 0.1408
组合 (angle140, pitch70)：AP@0.5 = 0.0909
组合 (angle160, pitch70)：AP@0.5 = 0.0909
组合 (angle180, pitch70)：AP@0.5 = 0.1770
组合 (angle200, pitch70)：AP@0.5 = 0.1442
组合 (angle220, pitch70)：AP@0.5 = 0.1818
组合 (angle240, pitch70)：AP@0.5 = 0.1305
组合 (angle260, pitch70)：AP@0.5 = 0.1299
组合 (angle280, pitch70)：AP@0.5 = 0.1688
组合 (angle300, pitch70)：AP@0.5 = 0.0909
组合 (angle320, pitch70)：AP@0.5 = 0.1818
组合 (angle340, pitch70)：AP@0.5 = 0.1727
组合 (angle0, pitch80)：AP@0.5 = 0.1673
组合 (angle20, pitch80)：AP@0.5 = 0.0280
组合 (angle40, pitch80)：AP@0.5 = 0.0909
组合 (angle60, pitch80)：AP@0.5 = 0.0909
组合 (angle80, pitch80)：AP@0.5 = 0.0909
组合 (angle100, pitch80)：AP@0.5 = 0.1553
组合 (angle120, pitch80)：AP@0.5 = 0.1553
组合 (angle140, pitch80)：AP@0.5 = 0.0909
组合 (angle160, pitch80)：AP@0.5 = 0.1136
组合 (angle180, pitch80)：AP@0.5 = 0.1660
组合 (angle200, pitch80)：AP@0.5 = 0.0909
组合 (angle220, pitch80)：AP@0.5 = 0.0909
组合 (angle240, pitch80)：AP@0.5 = 0.0909
组合 (angle260, pitch80)：AP@0.5 = 0.0909
组合 (angle280, pitch80)：AP@0.5 = 0.0909
组合 (angle300, pitch80)：AP@0.5 = 0.0909
组合 (angle320, pitch80)：AP@0.5 = 0.0909
组合 (angle340, pitch80)：AP@0.5 = 0.1645
组合 (angle0, pitch89)：AP@0.5 = 0.1553
组合 (angle20, pitch89)：AP@0.5 = 0.0909
组合 (angle40, pitch89)：AP@0.5 = 0.0390
组合 (angle60, pitch89)：AP@0.5 = 0.0909
组合 (angle80, pitch89)：AP@0.5 = 0.0909
组合 (angle100, pitch89)：AP@0.5 = 0.0474
组合 (angle120, pitch89)：AP@0.5 = 0.0909
组合 (angle140, pitch89)：AP@0.5 = 0.1442
组合 (angle160, pitch89)：AP@0.5 = 0.0909
组合 (angle180, pitch89)：AP@0.5 = 0.1818
组合 (angle200, pitch89)：AP@0.5 = 0.0909
组合 (angle220, pitch89)：AP@0.5 = 0.0909
组合 (angle240, pitch89)：AP@0.5 = 0.0909
组合 (angle260, pitch89)：AP@0.5 = 0.0909
组合 (angle280, pitch89)：AP@0.5 = 0.0909
组合 (angle300, pitch89)：AP@0.5 = 0.0909
组合 (angle320, pitch89)：AP@0.5 = 0.0424
组合 (angle340, pitch89)：AP@0.5 = 0.0727
